# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
6e-07, 2e-05, 295, -1.88070372702e-13, -2.14519483494e-13, -1.90791229951e-13, -2.20318933709e-13, 0.98573908638, 0.973677023045
6.05e-07, 2e-05, 295, -1.83423250405e-13, -2.09449124835e-13, -1.86092048984e-13, -2.15166383761e-13, 0.985658717858, 0.973428660988
6.1e-07, 2e-05, 295, -1.78925082852e-13, -2.04537571402e-13, -1.8154319773e-13, -2.1017452615e-13, 0.985578556996, 0.973179648117
6.15e-07, 2e-05, 295, -1.74570004926e-13, -1.99778657168e-13, -1.7713876349e-13, -2.05337134728e-13, 0.985498608475, 0.972929993557
6.2e-07, 2e-05, 295, -1.70352417542e-13, -1.95166493313e-13, -1.72873109426e-13, -2.00648270978e-13, 0.985418831811, 0.972679666567
6.25e-07, 2e-05, 295, -1.66266981181e-13, -1.90695461402e-13, -1.68740859689e-13, -1.96102268606e-13, 0.98533918511, 0.972428635108
6.3e-07, 2e-05, 295, -1.623086228e-13, -1.86360220369e-13, -1.64736885448e-13, -1.91693719073e-13, 0.985259751379, 0.97217697726
6.35e-07, 2e-05, 295, -1.58472472201e-13, -1.82155641235e-13, -1.60856291777e-13, -1.87417458015e-13, 0.985180439327, 0.97192461772
6.4e-07, 2e-05, 295, -1.54753920244e-13, -1.78076866509e-13, -1.57094405312e-13, -1.83268552444e-13, 0.985101410433, 0.971671703269
6.45e-07, 2e-05, 295, -1.51148511963e-13, -1.74119200604e-13, -1.53446762673e-13, -1.79242288748e-13, 0.985022488128, 0.971418083423
6.5e-07, 2e-05, 295, -1.47652024167e-13, -1.70278189255e-13, -1.49909099548e-13, -1.75334161369e-13, 0.984943706634, 0.971163793327
6.55e-07, 2e-05, 295, -1.44260414726e-13, -1.66549567427e-13, -1.46477340437e-13, -1.71539862161e-13, 0.984865060327, 0.970908833252
