# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
5.85e-07, 7.5e-05, 295, 3.94555970777e-06, 4.30662530187e-06, 3.9569683765e-06, 4.32617401919e-06, 0.997116815792, 0.995481291961, 3.61065594098e-07, 0.977952534726
5.9e-07, 7.5e-05, 295, 3.81580931534e-06, 4.1683439064e-06, 3.82690315924e-06, 4.18743879721e-06, 0.99710109103, 0.995439959426, 3.52534591057e-07, 0.977807888943
5.95e-07, 7.5e-05, 295, 3.69129810384e-06, 4.03556744607e-06, 3.70209491999e-06, 4.0542299271e-06, 0.997083592834, 0.995396787709, 3.44269342226e-07, 0.977662928372
6e-07, 7.5e-05, 295, 3.57178872491e-06, 3.90804869122e-06, 3.58229161643e-06, 3.92628498451e-06, 0.997068108171, 0.995355331218, 3.36259966308e-07, 0.97751874747
6.05e-07, 7.5e-05, 295, 3.4570321197e-06, 3.78552847606e-06, 3.467255172e-06, 3.80335598748e-06, 0.997051543138, 0.995312689246, 3.28496356364e-07, 0.977374469906
6.1e-07, 7.5e-05, 295, 3.34680632192e-06, 3.66777553888e-06, 3.35676059876e-06, 3.68520849381e-06, 0.997034558604, 0.995269479336, 3.20969216959e-07, 0.977230245018
6.15e-07, 7.5e-05, 295, 3.24090321326e-06, 3.55457296146e-06, 3.25059518193e-06, 3.57162076191e-06, 0.997018401822, 0.99522687273, 3.13669748193e-07, 0.977086462123
6.2e-07, 7.5e-05, 295, 3.13912161966e-06, 3.44571102977e-06, 3.14855772113e-06, 3.4623829696e-06, 0.997003040026, 0.995184836578, 3.06589410103e-07, 0.976943096846
6.25e-07, 7.5e-05, 295, 3.04126704839e-06, 3.34098697265e-06, 3.05045782384e-06, 3.35729648653e-06, 0.99698708326, 0.995142069238, 2.99719924257e-07, 0.976799734508
6.3e-07, 7.5e-05, 295, 2.94715948674e-06, 3.2402129885e-06, 2.95611524747e-06, 3.25617319651e-06, 0.996970429099, 0.99509847694, 2.93053501762e-07, 0.976656351551
6.35e-07, 7.5e-05, 295, 2.85663550595e-06, 3.14321841557e-06, 2.86535928594e-06, 3.15883486533e-06, 0.99695543242, 0.995056262696, 2.86582909621e-07, 0.976513651373
6.4e-07, 7.5e-05, 295, 2.76952447962e-06, 3.04982522422e-06, 2.77802819774e-06, 3.06511255136e-06, 0.996938937433, 0.995012474458, 2.80300744601e-07, 0.97637067667
6.45e-07, 7.5e-05, 295, 2.68567777067e-06, 2.95987810132e-06, 2.69396867235e-06, 2.97484605533e-06, 0.996922420902, 0.994968494592, 2.7420033065e-07, 0.976227874715
6.5e-07, 7.5e-05, 295, 2.60495061289e-06, 2.87322577502e-06, 2.61303533205e-06, 2.88788340664e-06, 0.996906004653, 0.994924437883, 2.68275162138e-07, 0.976085288326
6.55e-07, 7.5e-05, 295, 2.52720987333e-06, 2.78972901186e-06, 2.53509026653e-06, 2.80408038316e-06, 0.99689147432, 0.994881968653, 2.62519138523e-07, 0.97594343545
6.6e-07, 7.5e-05, 295, 2.45231563824e-06, 2.70924162549e-06, 2.46000259815e-06, 2.72330006262e-06, 0.996875222849, 0.994837720114, 2.5692598725e-07, 0.975801220724
6.65e-07, 7.5e-05, 295, 2.38015303298e-06, 2.63164332297e-06, 2.38764807532e-06, 2.64541240297e-06, 0.996860909941, 0.994795110214, 2.51490289989e-07, 0.975659790804
6.7e-07, 7.5e-05, 295, 2.31059965115e-06, 2.55680606205e-06, 2.31790869222e-06, 2.57029384959e-06, 0.996846708803, 0.994752433641, 2.46206410902e-07, 0.975518582277
6.75e-07, 7.5e-05, 295, 2.24354373915e-06, 2.48461283108e-06, 2.25067233284e-06, 2.49782696774e-06, 0.996832682579, 0.994709746978, 2.41069091925e-07, 0.975377589107
6.8e-07, 7.5e-05, 295, 2.17887444064e-06, 2.41494758395e-06, 2.18583243774e-06, 2.42790009824e-06, 0.996816774709, 0.994665137049, 2.36073143312e-07, 0.975236191518
6.85e-07, 7.5e-05, 295, 2.11649921953e-06, 2.34771324316e-06, 2.12328769173e-06, 2.36040703467e-06, 0.996802848606, 0.994622202304, 2.31214023631e-07, 0.975095581674
6.9e-07, 7.5e-05, 295, 2.05631368287e-06, 2.28280049229e-06, 2.06294173133e-06, 2.29524672101e-06, 0.996787088864, 0.99457738961, 2.2648680942e-07, 0.974954561829
6.95e-07, 7.5e-05, 295, 1.99823038337e-06, 2.2201175691e-06, 2.00470287033e-06, 2.23232296778e-06, 0.996771348481, 0.994532422567, 2.2188718573e-07, 0.974813683947
7e-07, 7.5e-05, 295, 1.94216229799e-06, 2.15957319585e-06, 1.94848384239e-06, 2.17154418583e-06, 0.996755659831, 0.994487337601, 2.17410897862e-07, 0.974673016751
7.05e-07, 7.5e-05, 295, 1.8880286007e-06, 2.10108250899e-06, 1.89420155946e-06, 2.11282313641e-06, 0.996741128875, 0.994443156544, 2.13053908293e-07, 0.974532849268
7.1e-07, 7.5e-05, 295, 1.83574802176e-06, 2.04456023526e-06, 1.84177688492e-06, 2.05607669628e-06, 0.996726605047, 0.9943988174, 2.088122135e-07, 0.974392894608
7.15e-07, 7.5e-05, 295, 1.78524554017e-06, 1.98992756062e-06, 1.79113442049e-06, 2.00122563718e-06, 0.996712206377, 0.994354421438, 2.04682020452e-07, 0.974253106265
7.2e-07, 7.5e-05, 295, 1.73645148334e-06, 1.93711126779e-06, 1.74220230601e-06, 1.94819441843e-06, 0.996699107419, 0.994311065395, 2.00659784445e-07, 0.974113921567
7.25e-07, 7.5e-05, 295, 1.68929332497e-06, 1.88603516535e-06, 1.69491203113e-06, 1.89691099192e-06, 0.996684957063, 0.994266559359, 1.96741840371e-07, 0.973974517514
