# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
4.6e-07, 7.5e-05, 295, -1.57228214384e-12, -1.74755025305e-12, -1.57720515723e-12, -1.75803061229e-12, 0.996878647419, 0.994038579783, -1.75268109214e-13, 0.969266794634
4.65e-07, 7.5e-05, 295, -1.52294780033e-12, -1.69474418461e-12, -1.52775017789e-12, -1.70503875565e-12, 0.996856568813, 0.993962265667, -1.71796384277e-13, 0.969021165669
4.7e-07, 7.5e-05, 295, -1.47562652307e-12, -1.6440525832e-12, -1.48031240556e-12, -1.65416688369e-12, 0.996834531367, 0.993885562221, -1.68426060129e-13, 0.968776081825
4.75e-07, 7.5e-05, 295, -1.43021752643e-12, -1.59537076551e-12, -1.43479059239e-12, -1.60530980403e-12, 0.996812729338, 0.993808647713, -1.65153239078e-13, 0.968531565955
4.8e-07, 7.5e-05, 295, -1.38662552286e-12, -1.54859972323e-12, -1.39108951696e-12, -1.5583685382e-12, 0.996791008737, 0.993731383349, -1.61974200372e-13, 0.968287590268
4.85e-07, 7.5e-05, 295, -1.34476119699e-12, -1.50364660221e-12, -1.34911956996e-12, -1.51324989667e-12, 0.99676946872, 0.99365386082, -1.58885405225e-13, 0.968044165924
4.9e-07, 7.5e-05, 295, -1.30454015685e-12, -1.46042363134e-12, -1.30879637223e-12, -1.46986608709e-12, 0.996747992685, 0.993575975501, -1.55883474491e-13, 0.96780126927
4.95e-07, 7.5e-05, 295, -1.2658831354e-12, -1.41884832572e-12, -1.27004042225e-12, -1.42813435245e-12, 0.996726649979, 0.993497791916, -1.52965190318e-13, 0.967558907028
5e-07, 7.5e-05, 295, -1.22871538385e-12, -1.37884286545e-12, -1.23277677041e-12, -1.38797663669e-12, 0.996705497166, 0.993419362402, -1.501274816e-13, 0.967317080879
5.05e-07, 7.5e-05, 295, -1.19296621031e-12, -1.34033362447e-12, -1.19693471804e-12, -1.34931927561e-12, 0.99668444096, 0.993340604185, -1.47367414155e-13, 0.967075775308
5.1e-07, 7.5e-05, 295, -1.15856905867e-12, -1.30325124699e-12, -1.16244753893e-12, -1.31209271082e-12, 0.996663522327, 0.993261555559, -1.44682188317e-13, 0.966834990323
5.15e-07, 7.5e-05, 295, -1.12546085399e-12, -1.26752997921e-12, -1.12925222146e-12, -1.27623122472e-12, 0.996642585772, 0.993182077556, -1.42069125222e-13, 0.966594697694
5.2e-07, 7.5e-05, 295, -1.09358253086e-12, -1.23310820594e-12, -1.09728922976e-12, -1.24167269495e-12, 0.996621949073, 0.99310245845, -1.39525675085e-13, 0.966354941693
5.25e-07, 7.5e-05, 295, -1.06287757703e-12, -1.19992696348e-12, -1.0665022822e-12, -1.20835836663e-12, 0.996601315131, 0.993022431602, -1.37049386449e-13, 0.966115672775
5.3e-07, 7.5e-05, 295, -1.0332930936e-12, -1.16793101935e-12, -1.03683814597e-12, -1.17623264104e-12, 0.996580900898, 0.992942194088, -1.34637925754e-13, 0.965876921386
5.35e-07, 7.5e-05, 295, -1.00477854027e-12, -1.13706758998e-12, -1.00824644621e-12, -1.14524287918e-12, 0.996560458056, 0.99286152366, -1.32289049708e-13, 0.965638643623
5.4e-07, 7.5e-05, 295, -9.77286482138e-13, -1.10728710179e-12, -9.80679488759e-13, -1.11533921933e-12, 0.996540147256, 0.992780566311, -1.30000619654e-13, 0.965400859674
5.45e-07, 7.5e-05, 295, -9.5077189975e-13, -1.07854248589e-12, -9.54092095383e-13, -1.08647440739e-12, 0.996520047017, 0.992699394072, -1.2777058614e-13, 0.965163579668
5.5e-07, 7.5e-05, 295, -9.25191909675e-13, -1.05078889043e-12, -9.28441450374e-13, -1.05860363883e-12, 0.996500004715, 0.992617871202, -1.2559698075e-13, 0.964926775099
5.55e-07, 7.5e-05, 295, -9.00506020677e-13, -1.02398394156e-12, -9.03686957844e-13, -1.03168441168e-12, 0.996480045287, 0.992536021647, -1.23477920882e-13, 0.964690446459
