# high-temperature limit
# R: 7.5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
126.26263, -18.503355429108, -35.591304498771, -34.329069375423, 0.93693484040629
126.68919, -18.567272494202, -35.717088681182, -34.446500568356, 0.93707925548611
127.11864, -18.631623607632, -35.843732460077, -34.564708758947, 0.93722384521893
127.55102, -18.696413200433, -35.971244633745, -34.683701655742, 0.93736861030176
127.98635, -18.761645764145, -36.099634122041, -34.803487069856, 0.93751355144447
128.42466, -18.827325851848, -36.228909967244, -34.924072916403, 0.93765866936225
128.86598, -18.893458079219, -36.359081334857, -35.045467215938, 0.9378039647678
129.31034, -18.960047125613, -36.490157518695, -35.167678096907, 0.93794943838958
129.75779, -19.027097735165, -36.622147939758, -35.290713796679, 0.9380950909511
130.20833, -19.094614717912, -36.755062151788, -35.414582664156, 0.93824092319137
130.66202, -19.162602950944, -36.888909840218, -35.539293160916, 0.93838693584519
131.11888, -19.231067379574, -37.023700827856, -35.664853863856, 0.93853312966264
131.57895, -19.300013018538, -37.15944507392, -35.791273466441, 0.93867950538997
132.04225, -19.369444953215, -37.296152679815, -35.918560781403, 0.93882606378836
132.50883, -19.439368340877, -37.433833888686, -36.046724742177, 0.93897280561789
132.97872, -19.509788411961, -37.572499089228, -36.175774405242, 0.93911973164448
133.45196, -19.580710471375, -37.712158819517, -36.305718952523, 0.939266842647
133.92857, -19.652139899824, -37.852823767149, -36.436567693022, 0.93941413940324
134.4086, -19.724082155171, -37.994504773635, -36.568330065392, 0.93956162269943
134.89209, -19.796542773825, -38.13721283629, -36.701015640027, 0.93970929332561
135.37906, -19.869527372157, -38.280959112789, -36.834634121724, 0.93985715208483
135.86957, -19.943041647951, -38.425754921489, -36.969195351515, 0.94000519977965
136.36364, -20.017091381882, -38.57161174606, -37.104709309428, 0.94015343722112
136.86131, -20.091682439032, -38.718541238103, -37.241186116862, 0.94030186522679
137.36264, -20.166820770432, -38.866555220209, -37.378636039106, 0.94045048462074
137.86765, -20.242512414647, -39.015665689099, -37.517069487892, 0.94059929623339
138.37638, -20.318763499385, -39.16588481887, -37.656497024043, 0.94074830090213
138.88889, -20.395580243154, -39.317224964241, -37.796929360125, 0.94089749947075
139.4052, -20.472968956947, -39.46969866437, -37.938377363291, 0.94104689279205
139.92537, -20.550936045967, -39.623318644601, -38.080852057738, 0.94119648171962
140.44944, -20.629488011394, -39.778097822478, -38.224364628054, 0.94134626711989
