# high-temperature limit
# R: 0.00015 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
258.62069, -38.355831667334, -74.825629863128, -72.14408997561, 0.96206960961836
259.51557, -38.490135060556, -75.091800700385, -72.39219832444, 0.96216197641357
260.41667, -38.625371769769, -75.359828107842, -72.641980864987, 0.96225444523163
261.32404, -38.76155155274, -75.629731525524, -72.893454576067, 0.96234701648529
262.23776, -38.898684303721, -75.90153066556, -73.146636666993, 0.96243969059048
263.15789, -39.036780055843, -76.175245517014, -73.401544581484, 0.96253246796611
264.08451, -39.175848983557, -76.450896350744, -73.658196001696, 0.96262534903441
265.01767, -39.315901405141, -76.728503724802, -73.916608852391, 0.96271833422193
265.95745, -39.456947785238, -77.008088487823, -74.176801304752, 0.96281142395491
266.90391, -39.598998737469, -77.289671787214, -74.438791781286, 0.96290461866762
267.85714, -39.742065027093, -77.573275071038, -74.702598959447, 0.96299791879292
268.8172, -39.886157573719, -77.85892009686, -74.968241776807, 0.96309132477177
269.78417, -40.031287454086, -78.146628933848, -75.235739434859, 0.96318483704377
270.75812, -40.177465904903, -78.4364239719, -75.50511140439, 0.96327845605674
271.73913, -40.324704325738, -78.728327924362, -75.776377429555, 0.96337218225833
272.72727, -40.473014281989, -79.0223638357, -76.049557533087, 0.96346601610096
273.72263, -40.622407507903, -79.318555087105, -76.324672021124, 0.96355995804052
274.72527, -40.772895909673, -79.616925402643, -76.601741488281, 0.96365400853682
275.73529, -40.924491568597, -79.917498855564, -76.880786822738, 0.96374816805287
276.75277, -41.077206744307, -80.220299874767, -77.16182921154, 0.96384243705555
277.77778, -41.231053878077, -80.525353251374, -77.444890145961, 0.96393681601546
278.81041, -41.386045596194, -80.832684145912, -77.729991427073, 0.96403130540814
279.85075, -41.542194713414, -81.142318093444, -78.017155170995, 0.96412590570952
280.89888, -41.699514236487, -81.454281013232, -78.306403815161, 0.96422061740281
281.95489, -41.858017367772, -81.768599214631, -78.597760123885, 0.96431544097482
283.01887, -42.017717508921, -82.085299403604, -78.891247194242, 0.96441037691489
284.09091, -42.17862826466, -82.404408691081, -79.186888462223, 0.96450542571538
285.1711, -42.340763446647, -82.725954602012, -79.484707709376, 0.96460058787652
286.25954, -42.504137077418, -83.049965080595, -79.784729068615, 0.96469586389932
287.35632, -42.668763394436, -83.376468500105, -80.086977031099, 0.96479125428998
288.46154, -42.834656854214, -83.705493670718, -80.391476452838, 0.96488675955889
289.57529, -43.001832136551, -84.037069847887, -80.698252561505, 0.9649823802207
290.69767, -43.170304148856, -84.371226741087, -81.007330963444, 0.96507811679448
291.82879, -43.34008803058, -84.707994522964, -81.318737650851, 0.96517396980437
292.96875, -43.511199157742, -85.047403836722, -81.632499008786, 0.96526993977617
294.11765, -43.683653147575, -85.389485808392, -81.948641823212, 0.96536602724414
295.27559, -43.85746586327, -85.734272052814, -82.267193287953, 0.96546223274296
296.44269, -44.032653418837, -86.081794686892, -82.5881810132, 0.96555855681584
297.61905, -44.209232184085, -86.432086336363, -82.911633032911, 0.9656550000077
298.80478, -44.387218789714, -86.785180147797, -83.237577813335, 0.96575156286932
300, -44.566630132535, -87.141109798112, -83.566044261215, 0.96584824595508
301.20482, -44.747483380816, -87.499909507398, -83.897061732756, 0.96594504982788
302.41935, -44.929795979749, -87.861614045503, -84.230660041624, 0.96604197505035
303.64372, -45.113585657063, -88.226258747593, -84.56686946866, 0.96613902219302
304.87805, -45.298870428761, -88.593879523363, -84.905720770723, 0.96623619183109
306.12245, -45.485668605007, -88.964512869741, -85.247245190266, 0.96633348454576
307.37705, -45.673998796155, -89.338195881129, -85.591474464585, 0.96643090092028
308.64198, -45.863879918921, -89.714966264764, -85.938440836286, 0.96652844154686
309.91736, -46.055331202718, -90.094862350338, -86.28817706284, 0.96662610702046
311.20332, -46.248372196142, -90.47792310465, -86.640716427204, 0.96672389794218
312.5, -46.44302277362, -90.864188144047, -86.996092748278, 0.96682181491748
313.80753, -46.639303142231, -91.253697750182, -87.354340392138, 0.96691985856103
315.12605, -46.83723384869, -91.646492879575, -87.715494282397, 0.96701802948791
316.4557, -47.036835786519, -92.04261518235, -88.07958991233, 0.96711632832189
317.79661, -47.23813020339, -92.442107014652, -88.446663356212, 0.96721475569223
319.14894, -47.441138708661, -92.845011454585, -88.816751281359, 0.96731331223419
320.51282, -47.645883281109, -93.251372316322, -89.189890960214, 0.96741199858757
321.88841, -47.852386276853, -93.661234166788, -89.566120283061, 0.96751081539825
323.27586, -48.060670437487, -94.074642343229, -89.94547777106, 0.96760976332019
324.67532, -48.270758898428, -94.491642967224, -90.328002589079, 0.96770884301136
326.08696, -48.482675197474, -94.912282963522, -90.71373455947, 0.96780805513657
327.51092, -48.69644328359, -95.336610077575, -91.102714175987, 0.96790740036792
328.94737, -48.912087525927, -95.764672891825, -91.494982617683, 0.96800687938135
330.39648, -49.129632723076, -96.196520846697, -91.89058176397, 0.96810649286174
331.85841, -49.34910411257, -96.632204258414, -92.289554209357, 0.96820624150026
333.33333, -49.57052738064, -97.071774337425, -92.691943278667, 0.96830612599355
334.82143, -49.793928672227, -97.515283209796, -93.097793043018, 0.96840614704564
336.32287, -50.019334601271, -97.962783937327, -93.507148335894, 0.96850630536741
337.83784, -50.246772261274, -98.41433053853, -93.92005476975, 0.96860660167652
339.36652, -50.476269236148, -98.86997801041, -94.336558753016, 0.96870703669787
340.90909, -50.707853611363, -99.329782351079, -94.756707507706, 0.96880761116453
342.46575, -50.941553985399, -99.793800580827, -95.180549086947, 0.96890832581398
344.0367, -51.177399481511, -100.2620907688, -95.608132393999, 0.96900918139435
345.62212, -51.41541975982, -100.73471205393, -96.039507200633, 0.96911017865913
347.22222, -51.655645029746, -101.21172467156, -96.474724166811, 0.96921131836999
348.83721, -51.898106062776, -101.69318997855, -96.913834860575, 0.9693126012964
350.46729, -52.142834205605, -102.17917047939, -97.356891778511, 0.96941402821559
352.11268, -52.389861393628, -102.66972985368, -97.803948366851, 0.96951559991331
353.77358, -52.639220164837, -103.164932982, -98.25505904285, 0.96961731718159
355.45024, -52.890943674093, -103.66484597762, -98.710279217415, 0.96971918082309
357.14286, -53.145065707815, -104.16953621262, -99.169665317485, 0.96982119164685
358.85167, -53.401620699093, -104.67907234983, -99.633274809761, 0.9699233504711
360.57692, -53.660643743229, -105.19352437352, -100.10116622471, 0.97002565812249
362.31884, -53.922170613737, -105.71296362164, -100.57339918146, 0.97012811543705
364.07767, -54.186237778803, -106.237462817, -101.050034413, 0.97023072325804
365.85366, -54.452882418228, -106.76709610414, -101.5311337928, 0.9703334824396
367.64706, -54.722142440873, -107.3019390811, -102.01676036137, 0.97043639384366
369.45813, -54.994056502611, -107.84206883701, -102.5069783542, 0.97053945834182
371.28713, -55.268664024827, -108.38756398855, -103.0018532302, 0.97064267681511
373.13433, -55.546005213452, -108.93850471844, -103.50145170111, 0.97074605015467
375, -55.826121078584, -109.49497281277, -104.00584176144, 0.97084957925976
376.88442, -56.109053454689, -110.05705170453, -104.51509271993, 0.97095326504171
378.78788, -56.394845021422, -110.62482651195, -105.02927523115, 0.97105710842007
380.71066, -56.68353932508, -111.19838408366, -105.54846132868, 0.97116111032602
382.65306, -56.975180800708, -111.77781304052, -106.07272445869, 0.97126527169928
384.61538, -57.269814794888, -112.36320382427, -106.60213951524, 0.97136959349211
386.59794, -57.567487589237, -112.95464874085, -107.13678287584, 0.97147407666593
388.60104, -57.868246424627, -113.55224201282, -107.67673243879, 0.97157872219492
390.625, -58.172139526171, -114.15607982425, -108.22206766088, 0.97168353106186
392.67016, -58.479216128982, -114.7662603767, -108.77286959715, 0.97178850426267
394.73684, -58.789526504761, -115.38288394045, -109.3292209411, 0.97189364280456
396.8254, -59.103121989215, -116.00605290839, -109.89120606641, 0.97199894770567
398.93617, -59.42005501036, -116.63587185378, -110.45891107004, 0.97210441999644
401.06952, -59.740379117724, -117.27244758828, -111.03242381651, 0.97221006071927
403.22581, -60.064149012498, -117.91588922241, -111.61183398371, 0.97231587092946
405.40541, -60.391420578664, -118.56630822646, -112.19723310989, 0.97242185169386
407.6087, -60.722250915136, -119.22381849598, -112.78871464238, 0.97252800409248
409.83607, -61.056698368955, -119.8885364176, -113.3863739878, 0.97263432921829
412.08791, -61.394822569579, -120.56058093751, -113.99030856377, 0.97274082817755
414.36464, -61.736684464315, -121.24007363261, -114.60061785237, 0.97284750209018
416.66667, -62.082346354917, -121.92713878233, -115.21740345517, 0.97295435208914
418.99441, -62.43187193543, -122.62190344544, -115.84076915026, 0.97306137932162
421.34831, -62.785326331299, -123.32449753814, -116.47082095103, 0.97316858494941
423.72881, -63.142776139798, -124.0350539135, -117.10766716669, 0.97327597014793
426.13636, -63.504289471854, -124.75370844633, -117.75141846516, 0.97338353610783
428.57143, -63.869935995289, -125.48060011896, -118.40218793766, 0.97349128403458
431.03448, -64.239786979564, -126.21587111112, -119.06009116578, 0.97359921514937
433.52601, -64.613915342064, -126.95966689101, -119.72524629041, 0.97370733068825
436.04651, -64.992395696011, -127.71213631228, -120.39777408335, 0.97381563190348
438.59649, -65.375304400051, -128.47343171262, -121.07779802115, 0.97392412006344
441.17647, -65.762719609582, -129.24370901666, -121.76544436154, 0.97403279645338
443.78698, -66.154721329927, -130.0231278409, -122.46084222231, 0.97414166237456
446.42857, -66.551391471382, -130.81185160529, -123.16412366321, 0.97425071914632
449.1018, -66.952813906259, -131.61004764544, -123.87542377027, 0.97435996810443
451.80723, -67.359074527983, -132.41788733194, -124.59488074348, 0.97446941060309
454.54545, -67.770261312337, -133.23554619219, -125.32263598725, 0.97457904801449
457.31707, -68.186464380952, -134.06320403771, -126.05883420425, 0.9746888817298
460.1227, -68.607776067133, -134.90104509413, -126.80362349228, 0.97479891315839
462.96296, -69.034290984122, -135.74925813891, -127.55715544497, 0.97490914372933
465.83851, -69.466106095903, -136.60803664273, -128.31958525586, 0.97501957489157
468.75, -69.903320790667, -137.47757891489, -129.09107182622, 0.97513020811367
471.69811, -70.346036957047, -138.35808825677, -129.87177787689, 0.97524104488488
474.68354, -70.794359063246, -139.24977312004, -130.66187006426, 0.97535208671579
477.70701, -71.248394239191, -140.15284726962, -131.46151910025, 0.97546333513807
480.76923, -71.70825236185, -141.06752995373, -132.27089987695, 0.97557479170468
483.87097, -72.174046143843, -141.99404608355, -133.09019159601, 0.97568645799203
487.01299, -72.645891225516, -142.93262641433, -133.9195779025, 0.97579833559875
490.19608, -73.123906270619, -143.88350773652, -134.75924702408, 0.97591042614619
493.42105, -73.608213065757, -144.84693307751, -135.6093919156, 0.97602273128084
496.68874, -74.09893662381, -145.82315190321, -136.4702104087, 0.97613525267203
