# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
2.75e-07, 0.0001513, 295, 0.000144614309054, 0.000150295940317, 0.000144729514871, 0.000150450180322, 0.999203992244, 0.998974810104, 5.68163126279e-06, 0.993176635022
2.8e-07, 0.0001513, 295, 0.000135154252138, 0.000140575929698, 0.000135263627838, 0.000140723055426, 0.999191388683, 0.998954501606, 5.42167756016e-06, 0.993085350508
2.85e-07, 0.0001513, 295, 0.00012645527183, 0.000131632611151, 0.000126559137364, 0.000131773003486, 0.999179312251, 0.99893458955, 5.17733932074e-06, 0.992994296255
2.9e-07, 0.0001513, 295, 0.000118444850654, 0.000123392311678, 0.000118543584149, 0.000123526405948, 0.999167112285, 0.998914448542, 4.94746102381e-06, 0.992903463828
2.95e-07, 0.0001513, 295, 0.00011105852069, 0.00011578950905, 0.00011115244719, 0.000115917683999, 0.999154975867, 0.998894258887, 4.73098836045e-06, 0.992812854836
3e-07, 0.0001513, 295, 0.000104238749304, 0.000108765707249, 0.000104328162704, 0.000108888307276, 0.999142960083, 0.998874075375, 4.52695794474e-06, 0.992722461727
3.05e-07, 0.0001513, 295, 9.79340955414e-05, 0.000102268583862, 9.80192777188e-05, 0.000102385938396, 0.999130965057, 0.998853802234, 4.33448832046e-06, 0.992632274694
3.1e-07, 0.0001513, 295, 9.20985175581e-05, 9.62512895914e-05, 9.21797180447e-05, 9.63636928918e-05, 0.999119106802, 0.99883355134, 4.15277203326e-06, 0.992542303668
3.15e-07, 0.0001513, 295, 8.66907002971e-05, 9.06717686153e-05, 8.67681536704e-05, 9.07794974506e-05, 0.999107352525, 0.998813291125, 3.9810683183e-06, 0.992452538691
3.2e-07, 0.0001513, 295, 8.16735178674e-05, 8.54922147112e-05, 8.17474473547e-05, 8.559553213e-05, 0.999095635525, 0.998792957806, 3.81869684378e-06, 0.992362971907
3.25e-07, 0.0001513, 295, 7.70135673701e-05, 8.06785994446e-05, 7.70841744444e-05, 8.07777444861e-05, 0.999084026328, 0.998772619337, 3.66503207445e-06, 0.992273608744
3.3e-07, 0.0001513, 295, 7.26807312681e-05, 7.62002293657e-05, 7.27482038183e-05, 7.62954254302e-05, 0.999072519366, 0.998752270349, 3.51949809758e-06, 0.992184442536
3.35e-07, 0.0001513, 295, 6.86478131709e-05, 7.20293772892e-05, 6.8712331411e-05, 7.21208381968e-05, 0.999061038407, 0.998731837984, 3.38156411832e-06, 0.992095463175
3.4e-07, 0.0001513, 295, 6.48902302463e-05, 6.81409706907e-05, 6.4951959082e-05, 6.8228893127e-05, 0.999049623189, 0.998711360653, 3.25074044445e-06, 0.99200667448
3.45e-07, 0.0001513, 295, 6.13857271231e-05, 6.45123019153e-05, 6.14448126559e-05, 6.45968620404e-05, 0.999038396731, 0.998690956148, 3.12657479215e-06, 0.991918085899
3.5e-07, 0.0001513, 295, 5.81141054166e-05, 6.11227542987e-05, 5.81706938919e-05, 6.12041269041e-05, 0.999027199583, 0.998670471919, 3.00864888213e-06, 0.99182967615
