# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 31400nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR, 1-P_Drude/P_PFA_Drude, 1-P_plasma/P_PFA_plasma
414, 0.723248180157, 0.72714503756, 0.767518686465, 0.773026710379, 0.00535911984717, 0.00712526985163
418, 0.724283814277, 0.728215562541, 0.769093164313, 0.774667582866, 0.00539915440761, 0.0071958846302
422, 0.725295718636, 0.729262135451, 0.770644102138, 0.776284968858, 0.00543894523236, 0.00726648968619
426, 0.72628430195, 0.730285272315, 0.772171898972, 0.777879373254, 0.00547864035783, 0.00733722281235
430, 0.727250236678, 0.731285474786, 0.773677215995, 0.779451287093, 0.00551800664351, 0.0074078665253
434, 0.728193866795, 0.732263230291, 0.775160388513, 0.781001187343, 0.00555724134143, 0.00747860428922
438, 0.729115832041, 0.733219012715, 0.776622045435, 0.782529537762, 0.0055961187633, 0.00754922599371
442, 0.730016313691, 0.734153283038, 0.7780623605, 0.784036789684, 0.005635021244, 0.00762008781027
446, 0.730895864849, 0.735066489407, 0.779481876779, 0.785523381721, 0.00567380586327, 0.00769105679441
450, 0.731755047894, 0.735959067772, 0.780881149562, 0.786989740699, 0.00571230121521, 0.00776197048201
454, 0.732594249205, 0.736831442474, 0.78226055606, 0.788436281823, 0.00575055979518, 0.00783287870517
458, 0.733413986017, 0.737684026251, 0.783620605333, 0.789863409474, 0.00578844069088, 0.00790365025961
462, 0.734214249479, 0.738517220827, 0.78496127929, 0.791271516933, 0.00582650103053, 0.00797480701395
466, 0.734995807849, 0.739331417479, 0.786283340819, 0.792660987078, 0.00586423020527, 0.00804586874278
470, 0.735758829459, 0.740126996953, 0.787586950495, 0.794032193076, 0.00590191617329, 0.00811710486897
474, 0.736504072644, 0.740904330108, 0.788872861726, 0.79538549797, 0.00593903596702, 0.00818802487673
