# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 31400nm
#
# F_PR = -pi³*hbar*c*R/(360*L³)
#
# order of finite difference formula: 8
# stepsize: 1
#
# L (nm), F_Drude/F_PR, F_PFA_Drude/F_PR, F_plasma/F_PR, F_PFA_plasma/F_PR, 1-F_Drude/F_PFA_Drude, 1-F_Plasma/F_PFA_Plasma
458, 0.745890248749, 0.751541017378, 0.826370754408, 0.837285495744, 0.00751890914556, 0.0130358657732
462, 0.746209440597, 0.751896273526, 0.827482996266, 0.838520337014, 0.00756332107042, 0.0131628778219
466, 0.746513484998, 0.752236153264, 0.828579782492, 0.839740097859, 0.00760754218143, 0.013290201808
470, 0.746802746053, 0.75256101198, 0.829661472501, 0.840945126961, 0.00765156025312, 0.0134178248947
474, 0.747077552648, 0.752871195298, 0.830728390244, 0.842135763524, 0.00769539688312, 0.0135457651532
478, 0.747338218366, 0.753167039763, 0.831780844481, 0.843312337444, 0.00773908188971, 0.0136740475043
482, 0.747585101401, 0.75344887261, 0.832819189271, 0.844475170264, 0.00778257347265, 0.0138026331656
486, 0.747818513484, 0.753717012454, 0.833843732242, 0.84562457447, 0.00782588010147, 0.0139315277525
490, 0.748038757228, 0.753971769392, 0.834854771488, 0.846760854475, 0.00786901102234, 0.0140607385478
494, 0.748246113209, 0.754213445663, 0.83585258364, 0.847884306547, 0.00791199426073, 0.0141902884797
498, 0.74844088811, 0.754442335328, 0.83683747195, 0.848995219773, 0.00795481236442, 0.0143201605144
502, 0.748623376953, 0.75465872494, 0.83780972748, 0.850093875214, 0.00799745340201, 0.0144503425937
506, 0.74879383964, 0.754862893689, 0.838769606789, 0.851180546918, 0.00803994222016, 0.0145808549955
510, 0.748952566035, 0.755055113555, 0.839717396164, 0.852255501952, 0.00808225440742, 0.0147116747961
514, 0.749099785006, 0.755235649888, 0.840653321057, 0.853319000461, 0.00812443756074, 0.0148428423572
518, 0.749235768649, 0.755404761084, 0.841577650797, 0.854371296571, 0.00816647280149, 0.0149743394065
522, 0.749360792159, 0.755562699181, 0.842490657544, 0.855412637532, 0.00820832874466, 0.0151061364077
526, 0.749475056961, 0.755709709859, 0.843392539447, 0.856443264654, 0.00825006324122, 0.0152382834285
530, 0.749578817119, 0.755846033057, 0.844283547711, 0.857463413315, 0.00829165684984, 0.0153707614798
534, 0.749672334973, 0.755971902512, 0.845163942278, 0.858473312967, 0.00833307100191, 0.0155035345744
538, 0.749755787239, 0.756087546394, 0.846033897258, 0.85947318803, 0.00837437302703, 0.0156366608743
542, 0.749829394624, 0.756193187362, 0.846893630794, 0.860463256955, 0.0084155647591, 0.0157701401554
