# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/_P_PFA_Plasma
2.75e-07, 5e-05, 295, -4.63110912632e-12, -4.92334050213e-12, -4.64633019086e-12, -4.94747590794e-12, 0.996724, 0.995122
2.8e-07, 5e-05, 295, -4.4004579065e-12, -4.68361929304e-12, -4.41511757943e-12, -4.7070288468e-12, 0.99668, 0.995027
2.85e-07, 5e-05, 295, -4.18477976962e-12, -4.45928427076e-12, -4.19890627495e-12, -4.48200162952e-12, 0.996636, 0.994931
2.9e-07, 5e-05, 295, -3.98287948454e-12, -4.24911553155e-12, -3.99649921775e-12, -4.27117226615e-12, 0.996592, 0.994836
2.95e-07, 5e-05, 295, -3.79367446764e-12, -4.05200763263e-12, -3.80681237222e-12, -4.07343362074e-12, 0.996549, 0.99474
3e-07, 5e-05, 295, -3.61618302991e-12, -3.86695768375e-12, -3.62886244071e-12, -3.8877809667e-12, 0.996506, 0.994644
3.05e-07, 5e-05, 295, -3.44951345477e-12, -3.69305428176e-12, -3.46175608403e-12, -3.71330106393e-12, 0.996463, 0.994547
3.1e-07, 5e-05, 295, -3.29285394173e-12, -3.52946732417e-12, -3.3046804437e-12, -3.54916255206e-12, 0.996421, 0.994451
3.15e-07, 5e-05, 295, -3.14546508539e-12, -3.37544037629e-12, -3.15689479077e-12, -3.39460748283e-12, 0.996379, 0.994354
3.2e-07, 5e-05, 295, -3.00667229757e-12, -3.23028298786e-12, -3.01772315322e-12, -3.24894384225e-12, 0.996338, 0.994256
3.25e-07, 5e-05, 295, -2.87585854587e-12, -3.09336333311e-12, -2.88654779364e-12, -3.11153893288e-12, 0.996297, 0.994159
3.3e-07, 5e-05, 295, -2.75245961127e-12, -2.96410338784e-12, -2.76280342886e-12, -2.98181350706e-12, 0.996256, 0.994061
3.35e-07, 5e-05, 295, -2.63595843565e-12, -2.84197319703e-12, -2.64597209723e-12, -2.85923655556e-12, 0.996216, 0.993962
3.4e-07, 5e-05, 295, -2.52588094893e-12, -2.72648663248e-12, -2.53557859344e-12, -2.74332067118e-12, 0.996175, 0.993864
3.45e-07, 5e-05, 295, -2.42179109072e-12, -2.61719634509e-12, -2.43118640033e-12, -2.63361791572e-12, 0.996136, 0.993765
3.5e-07, 5e-05, 295, -2.32328811844e-12, -2.51369102006e-12, -2.3323940584e-12, -2.52971612981e-12, 0.996096, 0.993665
3.55e-07, 5e-05, 295, -2.23000346488e-12, -2.41559218102e-12, -2.23883191987e-12, -2.43123563351e-12, 0.996057, 0.993566
